target_form,target_ipa,source_word,source_languoid,source_meaning,source_relation,source_certain,concept,age,borrowed,form_id
graan,x r aː n,grānum,Latin,"grain, corn",immediate,yes,the grain,1240,1. clearly borrowed,Dutch-8-42-1
kaas,k aː s,cāseus,Latin,cheese,immediate,yes,the cheese,1240,1. clearly borrowed,Dutch-5-88-1
kameel,k aː m eː l,camēlus,Latin,camel,immediate,yes,the camel,1240,1. clearly borrowed,Dutch-3-78-1
kamer,k aː m ə r,camera,Latin,room,immediate,yes,the room,1201-1225,1. clearly borrowed,Dutch-7-21-1
kant,k ɑ n t,cantus,Latin,edge,immediate,yes,the edge,1248-1271,1. clearly borrowed,Dutch-12-353-1
kant,k ɑ n t,cantus,Latin,edge,immediate,yes,the side,1248-1271,1. clearly borrowed,Dutch-12-36-1
kar,k ɑ r,carrus,Latin,kar,immediate,yes,the cart or wagon,1240,1. clearly borrowed,Dutch-10-75-1
kat,k ɑ t,catta,Latin,kat,immediate,yes,the cat,1210-1240,1. clearly borrowed,Dutch-3-62-1
ketel,k eː t ə l,catillus,Latin,pot,immediate,yes,the kettle,1240,1. clearly borrowed,Dutch-5-27-1
keten,k eː t ə,catēna,Latin,chain,immediate,yes,the chain,1240,1. clearly borrowed,Dutch-9-18-1
keuken,k øː k ə,cocina,Latin,keuken,immediate,yes,the cookhouse,1236,1. clearly borrowed,Dutch-7-17-1
klaar,k l aː r,clārus,Latin,bright,immediate,yes,ready,1651-1652,1. clearly borrowed,Dutch-14-29-1
koken,k oː k ə,cocere,Latin,"cook, boil",immediate,yes,to boil,1287,1. clearly borrowed,Dutch-5-22-1
koken,k oː k ə,cocere,Latin,"cook, boil",immediate,yes,to cook,1287,1. clearly borrowed,Dutch-5-21-1
kop,k ɔ p,cuppa,Latin,kop,immediate,yes,the cup,1265-1270,3. perhaps borrowed,Dutch-5-35-1
kopen,k oː p ə,caupō,Latin,tradesman,immediate,yes,to buy,1220-1240,1. clearly borrowed,Dutch-11-81-1
koper,k oː p ə r,cyprum,Latin,koper,immediate,yes,the copper,1240-1260,1. clearly borrowed,Dutch-9-66-1
kort,k ɔ r t,curtus,Latin,"short, mutilated",immediate,yes,short,0976,1. clearly borrowed,Dutch-12-59-1
kruis,k r œy s,cruce,Latin,kruis,immediate,yes,the cross,0991-1000,1. clearly borrowed,Dutch-12-77-1
lariks,l aː r ɪ k s,larix,Latin,a tree (Larix),immediate,yes,the larch,1682,1. clearly borrowed,Dutch-8-991-1
leeuw,l eː ʋ,leō,Latin,lion,immediate,yes,the lion,0901-1000,1. clearly borrowed,Dutch-3-72-1
maandag,m aː n d ɑ x,diês Lûnae,Latin,day of (godess) Luna,immediate,yes,Monday,1253,5. no evidence for borrowing,Dutch-14-63-1
mantel,m ɑ n t ə l,mantellum,Latin,mantel,immediate,yes,the cloak,1220-1240,1. clearly borrowed,Dutch-6-41-2
markt,m ɑ r k t,mercātus,Latin,market,immediate,yes,the market,1240,1. clearly borrowed,Dutch-11-85-1
mat,m ɑ t,matta,Latin,mat,immediate,yes,the mat,1285,1. clearly borrowed,Dutch-9-77-1
medicijn,m eː d iː s ɛi n,medicīna,Latin,medicine,immediate,yes,the medicine,1265-1270,1. clearly borrowed,Dutch-4-88-1
metselaar,m ɛ t s ə l aː r,macio,Latin,to lay bricks,immediate,yes,the mason,1343-1346,1. clearly borrowed,Dutch-7-61-1
molen,m oː l ə,molina,Latin,molen,immediate,yes,the mill,1112,1. clearly borrowed,Dutch-5-57-1
mortel,m ɔ r t ə l,mortarium,Latin,mortar,immediate,yes,the mortar(2),1240,1. clearly borrowed,Dutch-7-63-1
motor,m oː t ɔ r,motor,Latin,mover,immediate,yes,the motor,1892,1. clearly borrowed,Dutch-23-185-1
munt,m ʏ n t,monēta,Latin,‘mint’; designation of a goddess,immediate,yes,the coin,1240-1260,1. clearly borrowed,Dutch-11-44-1
muts,m ʏ t s,almucia,Latin,muts,immediate,yes,the hat or cap,1373,1. clearly borrowed,Dutch-6-55-2
muur,m yː r,murus,Latin,muur,immediate,yes,the wall,0901-1000,1. clearly borrowed,Dutch-7-27-1
noorderlicht,n oː r d ə r l ɪ x t,aurora borealis,Latin,noorderlicht,immediate,yes,the arctic lights,1736,5. no evidence for borrowing,Dutch-1-771-1
offer,ɔ f ə r,offerre,Latin,offer,immediate,yes,the sacrifice,1100,1. clearly borrowed,Dutch-22-15-1
olie,oː l iː,olium,Latin,olie,immediate,yes,the oil,1100,1. clearly borrowed,Dutch-5-79-1
olijf,oː l ɛi f,olīva,Latin,olive,immediate,yes,the olive,1240,1. clearly borrowed,Dutch-5-78-1
oogst,oː x s t,augustus,Latin,oogst,immediate,yes,the harvest,1240,1. clearly borrowed,Dutch-8-41-1
paal,p aː l,pālus,Latin,pole,immediate,yes,the post or pole,1285,1. clearly borrowed,Dutch-7-56-2
paar,p aː r,par,Latin,equal,immediate,yes,the pair,1274,1. clearly borrowed,Dutch-13-37-1
paard,p aː r t,paraveredus,Latin,paard,immediate,yes,the horse,1266-1268,1. clearly borrowed,Dutch-3-41-1
palm,p ɑ l m,palma,Latin,palm tree; palm of the hand,immediate,yes,the palm tree,1100,1. clearly borrowed,Dutch-8-81-1
pan,p ɑ n,panna,Latin,pan,immediate,yes,the pan,1240,1. clearly borrowed,Dutch-5-28-1
pellen,p ɛ l ə,pellis,Latin,skin,immediate,yes,to peel,1351,1. clearly borrowed,Dutch-5-46-1
pen,p ɛ n,penna,Latin,feather,immediate,yes,the pen,1351-1400,1. clearly borrowed,Dutch-18-57-1
penis,p eː n ə s,pēnis,Latin,brush,immediate,yes,the penis,1595,1. clearly borrowed,Dutch-4-492-1
peper,p eː p ə r,piper,Latin,pepper,immediate,yes,the pepper,1220-1240,1. clearly borrowed,Dutch-5-82-1
persoon,p ə r s oː n,persona,Latin,person,immediate,yes,the person,1265-1270,1. clearly borrowed,Dutch-2-1-1
pijl,p ɛi l,pilum,Latin,pijl,immediate,yes,the arrow,1373-1376,1. clearly borrowed,Dutch-20-25-1
pijn,p ɛi n,"pena, poena",Latin,pijn,immediate,yes,the pain,1236,1. clearly borrowed,Dutch-16-31-1
pil,p ɪ l,pillula,Latin,pill,immediate,yes,the pill or tablet,1351,1. clearly borrowed,Dutch-23-22-1
pin,p ɪ n,pinna,Latin,pin,immediate,yes,the peg,1285,3. perhaps borrowed,Dutch-9-91-2
plant,p l ɑ n t,planta,Latin,plant,immediate,yes,the plant,1240,1. clearly borrowed,Dutch-8-53-1
planten,p l ɑ n t ə,plantare,Latin,to plant,immediate,yes,to plant,1240,1. clearly borrowed,Dutch-8-531-1
pols,p ɔ l s,pulsus,Latin,pols,immediate,yes,the wrist,1265-1270,1. clearly borrowed,Dutch-4-321-1
poort,p oː r t,porta,Latin,gate,immediate,yes,the door or gate,0901-1000,1. clearly borrowed,Dutch-7-22-2
post,p ɔ s t,postis,Latin,post (1),immediate,yes,the post or pole,1240,1. clearly borrowed,Dutch-7-56-1
preken,p r eː k ə,praedicâre,Latin,"announce, proclaim",immediate,yes,to preach,1200,1. clearly borrowed,Dutch-22-22-1
priester,p r iː s t ə r,*prestre,Latin,priester,immediate,yes,the priest,1236,1. clearly borrowed,Dutch-22-18-1
proberen,p r oː b eː r ə,probare,Latin,proberen,immediate,yes,to try,1440,1. clearly borrowed,Dutch-17-48-1
pus,p ʏ s,pūs,Latin,pus,immediate,yes,the pus,1755,1. clearly borrowed,Dutch-4-857-1
regeren,r ə ɣ eː r ə,regere,Latin,regeren,immediate,yes,to rule or govern,1322,1. clearly borrowed,Dutch-19-31-2
riem,r iː m,remus,Latin,riem,immediate,yes,the oar,1240,1. clearly borrowed,Dutch-10-85-1
ruggengraat,r ʏ ɣ ə x r aː t,spina dorsi,Latin,ruggengraat,immediate,yes,the spine,1573,5. no evidence for borrowing,Dutch-4-191-1
salaris,s aː l aː r ə s,salarium,Latin,salaris,immediate,yes,the wages,1282,1. clearly borrowed,Dutch-11-78-2
school,s x oː l,schola,Latin,school,immediate,yes,the school,1240,1. clearly borrowed,Dutch-17-28-1
schotel,s x oː t ə l,scutella,Latin,schotel,immediate,yes,the saucer,1240,1. clearly borrowed,Dutch-5-36-1
schrijven,s x r ɛi v ə,scribere,Latin,schrijven,immediate,yes,to write,1100,1. clearly borrowed,Dutch-18-51-1
slaaf,s l aː f,sclavus,Latin,slave,immediate,yes,the slave,1285,1. clearly borrowed,Dutch-19-42-1
sleutelbeen,s l øː t ə l b eː n,clavicula,Latin,collarbone,immediate,yes,the collarbone,1645,5. no evidence for borrowing,Dutch-4-302-1
sorghum,s ɔ r ɣ ʏ m,sorghum,Latin,sorghum,immediate,yes,the millet or sorghum,1859,1. clearly borrowed,Dutch-8-911-2
specie,s p eː s iː,species,Latin,specie,immediate,yes,the mortar(2),1384-1407,1. clearly borrowed,Dutch-7-63-2
speld,s p ɛ l t,spinula,Latin,little thorn,immediate,yes,the pin,1350,1. clearly borrowed,Dutch-6-63-1
spiegel,s p iː ɣ ə l,speglum,Latin,spiegel,immediate,yes,the mirror,1240,1. clearly borrowed,Dutch-6-96-1
straat,s t r aː t,(via) strāta,Latin,laid down (way),immediate,yes,the street,1210-1240,1. clearly borrowed,Dutch-23-395-1
studeren,s t yː d eː r ə,studēre,Latin,studeren,immediate,yes,to study,1265-1270,1. clearly borrowed,Dutch-17-242-1
tafel,t aː f ə l,tabula,Latin,"board, plank",immediate,yes,the table,0901-1000,1. clearly borrowed,Dutch-7-44-1
tempel,t ɛ m p ə l,templum,Latin,temple,immediate,yes,the temple,1271-1272,1. clearly borrowed,Dutch-22-13-1
testikels,t ɛ s t iː k ə l s,testiculus,Latin,testicle,immediate,yes,the testicles,1595,1. clearly borrowed,Dutch-4-49-2
toren,t oː r ə,turrem,Latin,toren,immediate,yes,the tower,1201-1225,1. clearly borrowed,Dutch-20-36-1
trachten,t r ɑ x t ə,tractare,Latin,trachten,immediate,yes,to try,1588,1. clearly borrowed,Dutch-17-48-2
vaderland,v aː d ə r l ɑ n t,patria,Latin,vaderland,immediate,yes,the native country,1599,5. no evidence for borrowing,Dutch-19-12-1
vagina,v aː ɣ iː n aː,vagina,Latin,vagina,immediate,yes,the vagina,1722,1. clearly borrowed,Dutch-4-493-2
venster,v ɛ n s t ə r,fenestra,Latin,hatch in the wall,immediate,yes,the window,1100,1. clearly borrowed,Dutch-7-25-2
vork,v ɔ r k,furca,Latin,forked branch,immediate,yes,the fork(2)/pitchfork,1240,1. clearly borrowed,Dutch-8-26-1
vork,v ɔ r k,furca,Latin,forked branch,immediate,yes,the fork,1240,1. clearly borrowed,Dutch-5-39-1
vrijdag,v r ɛi d ɑ x,dies Veneris,Latin,vrijdag,immediate,yes,Friday,1263,5. no evidence for borrowing,Dutch-14-67-1
vulva,v ʏ l v aː,vulva,Latin,vulva,immediate,yes,the vulva,1726,1. clearly borrowed,Dutch-4-494-2
wijn,ʋ ɛi n,vīnum,Latin,wine,immediate,yes,the wine,0901-1000,1. clearly borrowed,Dutch-5-92-1
woensdag,ʋ uː n z d ɑ x,dies Mercurii,Latin,woensdag,immediate,yes,Wednesday,1260,5. no evidence for borrowing,Dutch-14-65-1
zak,z ɑ k,saccus,Latin,zak,immediate,yes,the pocket,1100,1. clearly borrowed,Dutch-6-61-1
zaterdag,z aː t ə r d ɑ x,dies Saturni,Latin,zaterdag,immediate,yes,Saturday,1240,1. clearly borrowed,Dutch-14-68-1
zegenen,z eː ɣ ə n ə,signare,Latin,zegenen,immediate,yes,to bless,1265-1270,1. clearly borrowed,Dutch-22-23-1
zeker,z eː k ə r,secūrus,Latin,free from care,immediate,yes,certain,1240,1. clearly borrowed,Dutch-17-37-1
zondag,z ɔ n d ɑ x,diês sôlis,Latin,day of (god) Sun,immediate,yes,Sunday,1236,5. no evidence for borrowing,Dutch-14-62-1
grens,x r ɛ n s,grenize,Low German,grens,immediate,yes,the boundary,1573,1. clearly borrowed,Dutch-19-17-1
jas,j ɑ s,jas,Low German,coat,immediate,yes,the coat,1733,3. perhaps borrowed,Dutch-6-43-1
jas,j ɑ s,jas,Low German,coat,immediate,yes,the cloak,1733,3. perhaps borrowed,Dutch-6-41-1
eiland,ɛi l ɑ n t,eiland,Old Frisian,eiland,immediate,yes,the island,1240,1. clearly borrowed,Dutch-1-25-1
klok,k l ɔ k,cloc,Old Irish,klok,immediate,yes,the clock,1237,1. clearly borrowed,Dutch-14-53-1
haai,h aː j,hár,Old Norse,haai,immediate,yes,the shark,1445-1455,1. clearly borrowed,Dutch-3-661-1
rif,r ɪ f,rif,Old Norse,rif,immediate,yes,the reef,1595,1. clearly borrowed,Dutch-1-342-1
rogge,r ɔ ɣ ə,rŭžĭ,Old Slavic,rogge,immediate,yes,the rye,1240,1. clearly borrowed,Dutch-8-45-1
banaan,b aː n aː n,banana,Portuguese,banana,immediate,yes,the banana,1596,1. clearly borrowed,Dutch-8-84-1
bataat,b aː t aː t,batata,Portuguese,sweet potato,immediate,no,the sweet potato,1565,1. clearly borrowed,Dutch-8-91-1
kakkerlak,k ɑ k ə r l ɑ k,cacalacca,Portuguese,kakkerlak,immediate,yes,the cockroach,1646,1. clearly borrowed,Dutch-3-816-1
tapir,t aː p iː r,tapir,Portuguese,tapir,immediate,no,the tapir,1682,1. clearly borrowed,Dutch-3-99-1
pijp,p ɛi p,*pipa,Romance,pijp,immediate,yes,the pipe,1693,1. clearly borrowed,Dutch-8-691-1
pot,p ɔ t,*pottus,Romance,pot,immediate,yes,the pot,1250,1. clearly borrowed,Dutch-5-26-1
zijde,z ɛi d ə,*seda,Romance,zijde,immediate,yes,the silk,1240,1. clearly borrowed,Dutch-6-25-1
bataat,b aː t aː t,batata,Spanish,sweet potato,immediate,no,the sweet potato,1565,1. clearly borrowed,Dutch-8-91-1
coyote,k oː j oː t ə,coyote,Spanish,coyote,immediate,yes,the coyote,1912,1. clearly borrowed,Dutch-3-862-1
hangmat,h ɑ ŋ m ɑ t,hamaca,Spanish,hammock,immediate,yes,the hammock,1627,1. clearly borrowed,Dutch-7-66-1
kano,k aː n oː,canoa,Spanish,the canoe,immediate,yes,the canoe,1598,1. clearly borrowed,Dutch-10-831-1
maïs,m ɑ j s,maiz,Spanish,maize,immediate,yes,the maize/corn,1581,1. clearly borrowed,Dutch-8-47-1
muskiet,m ʏ s k iː t,mosquito,Spanish,little fly,immediate,yes,the mosquito,1630,1. clearly borrowed,Dutch-3-832-1
poncho,p ɔ n ʃ oː,poncho,Spanish,poncho,immediate,yes,the poncho,1847,1. clearly borrowed,Dutch-6-411-1
tabak,t aː b ɑ k,tabaco,Spanish,the tobacco,immediate,yes,the tobacco,1577,1. clearly borrowed,Dutch-8-68-1
tapir,t aː p iː r,tapir,Spanish,tapir,immediate,no,the tapir,1682,1. clearly borrowed,Dutch-3-99-1
toekan,t uː k ɑ n,tucán,Spanish,toucan,immediate,yes,the toucan,1596,1. clearly borrowed,Dutch-3-598-1
koffie,k ɔ f iː,kahve,Turkish,coffee,immediate,yes,the coffee,1640,1. clearly borrowed,Dutch-23-91-1
