target_form,target_ipa,source_word,source_languoid,source_meaning,source_relation,source_certain,concept,age,borrowed,form_id
grootvader,x r oː t f aː d ə r,grand-père,French,grootvader,immediate,yes,the grandfather,1545,5. no evidence for borrowing,Dutch-2-46-1
grot,x r ɔ t,grotte,French,grot,immediate,yes,the cave,1600,1. clearly borrowed,Dutch-1-28-1
gulzig,x ʏ l z ə x,golos,French,gulzig,immediate,yes,greedy,1285,1. clearly borrowed,Dutch-16-83-1
harnas,h ɑ r n ɑ s,harnasc,French,harnas,immediate,yes,the armour,1250,1. clearly borrowed,Dutch-20-31-1
idee,iː d eː,idée,French,idea,immediate,yes,the idea,1485,1. clearly borrowed,Dutch-17-19-1
imiteren,iː m iː t eː r ə,imiter,French,imiteren,immediate,yes,to imitate,1669,1. clearly borrowed,Dutch-17-172-2
injectie,ɪ n j ɛ k s iː,injection,French,injectie,immediate,yes,the injection,1778,1. clearly borrowed,Dutch-23-23-1
insect,ɪ n s ɛ k t,insecte,French,insect,immediate,yes,the insect,1660,1. clearly borrowed,Dutch-3-81-1
jaloezie,j aː l uː z iː,jalousie,French,jealousy,immediate,yes,the envy or jealousy,1300,1. clearly borrowed,Dutch-16-44-1
juist,j œy s t,juste,French,"just, right",immediate,yes,right(2),1337-1382,1. clearly borrowed,Dutch-16-73-1
jurk,j ʏ r k,journée,French,jurk,immediate,yes,the (woman's) dress,1691,1. clearly borrowed,Dutch-6-42-1
juweel,j yː ʋ eː l,joël,French,juweel,immediate,yes,the jewel,1287,1. clearly borrowed,Dutch-6-72-1
kaap,k aː p,cap,French,cape,immediate,yes,the cape,1567,1. clearly borrowed,Dutch-1-343-1
kadaver,k aː d aː v ə r,cadavre,French,corpse,immediate,yes,the carcass,1662,1. clearly borrowed,Dutch-4-771-1
kalebas,k aː l ə b ɑ s,calebasse,French,kalebas,immediate,yes,the gourd,1588,1. clearly borrowed,Dutch-8-93-1
kalm,k ɑ l m,calme,French,calm,immediate,yes,calm,1568,1. clearly borrowed,Dutch-1-322-1
kameleon,k aː m eː l eː j ɔ n,caméléon,French,kameleon,immediate,yes,the chameleon,1240,1. clearly borrowed,Dutch-3-913-1
kariboe,k aː r iː b uː,caribou,French,caribou,immediate,yes,the reindeer/caribou,1929,1. clearly borrowed,Dutch-3-871-1
katapult,k ɑ t aː p ʏ l t,catapulte,French,catapult,immediate,yes,the sling,1898,1. clearly borrowed,Dutch-20-23-1
katoen,k aː t uː n,coton,French,cotton,immediate,yes,the cotton,1272,1. clearly borrowed,Dutch-6-24-1
kleindochter,k l ɛi n d ɔ x t ə r,petite-fille,French,kleindochter,immediate,yes,the granddaughter,1760,5. no evidence for borrowing,Dutch-2-49-1
kleinkind,k l ɛi ŋ k ɪ n t,petit-enfant,French,kleinkind,immediate,yes,the grandchild,1765,5. no evidence for borrowing,Dutch-2-5-1
kleinzoon,k l ɛi n z oː n,petit-fils,French,kleinzoon,immediate,yes,the grandson,1661,5. no evidence for borrowing,Dutch-2-48-1
kleur,k l øː r,couleur,French,color,immediate,yes,the colour/color,1567,1. clearly borrowed,Dutch-15-61-1
konijn,k oː n ɛi n,conin,French,konijn,immediate,yes,the rabbit,1240,1. clearly borrowed,Dutch-3-614-1
kraal,k r aː l,coral,French,kraal,immediate,yes,the bead,1480,1. clearly borrowed,Dutch-6-76-1
krant,k r ɑ n t,courant,French,electricity,immediate,yes,the newspaper,1610,1. clearly borrowed,Dutch-23-6-1
krokodil,k r oː k oː d ɪ l,crocodile,French,crocodile,immediate,yes,the crocodile or alligator,1521,1. clearly borrowed,Dutch-3-97-2
kussen,k ʏ s ə,cussin,French,kussen (1),immediate,yes,the pillow,1201-1250,1. clearly borrowed,Dutch-7-421-1
lagune,l aː ɣ yː n ə,lagune,French,lagoon,immediate,yes,the lagoon,1824,1. clearly borrowed,Dutch-1-341-1
lamp,l ɑ m p,lampe,French,lamp,immediate,yes,the lamp or torch,1240,1. clearly borrowed,Dutch-7-45-1
machine,m ɑ ʃ iː n ə,machine,French,machine,immediate,yes,the machine,1693,1. clearly borrowed,Dutch-23-19-1
