ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Loan,Graphemes,Profile,Word_ID,original_script,comment_on_word_form,Borrowed,Borrowed_score,comment_on_borrowed,borrowed_base,loan_history,Analyzability,gloss,Simplicity_score,reference,relative_frequency,numeric_frequency,Age,Age_score,integration,salience,effect,register,contact_situation,calqued,grammatical_info,colonial_word,etymological_note,lexical_stratum,word_source
Dutch-1-324-1,5393,Dutch,1-324,schuim,schuim,s x œy m,,12,false,^schuim$,Dutch,72181920572759556,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,1240,1.0,,,,,,,noun,,,,
Dutch-1-329-1,5394,Dutch,1-329,oceaan,oceaan,oː s eː j aː n,,12,true,^oceaan$,Dutch,72181920696029275,,,1. clearly borrowed,1.0,,,,unanalyzable,,1.0,"Van der Sijs, Leenwoordenboek 2005; EWB 1997",,,1595,0.9,1. Highly integrated,present only since contact,Insertion,,French cultural influence [12],,noun,,,,
Dutch-1-33-1,5395,Dutch,1-33,meer (1),meer,m eː r,,12,false,^meer$,Dutch,72181920482634506,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,0755-768,1.0,,,,,,,noun,,,,
Dutch-1-34-1,5396,Dutch,1-34,baai,baai,b aː j,,12,true,^baai$,Dutch,72181920537218984,,,1. clearly borrowed,1.0,,,,unanalyzable,,1.0,"Van der Sijs, Leenwoordenboek 2005; EWB 1997",,,1617,0.9,1. Highly integrated,present only since contact,Insertion,,French cultural influence [12],,noun,,,,
Dutch-1-341-1,5397,Dutch,1-341,lagune,lagune,l aː ɣ yː n ə,,12,true,^lagune$,Dutch,72181920674240965,,,1. clearly borrowed,1.0,,,,unanalyzable,,1.0,"Van der Sijs, Leenwoordenboek 2005; EWB 1997",,,1824,0.8,1. Highly integrated,present only since contact,Insertion,,French cultural influence [12],,noun,,,,
Dutch-1-342-1,5398,Dutch,1-342,rif,rif,r ɪ f,,12,true,^rif$,Dutch,72181920536664408,,,1. clearly borrowed,1.0,,,,unanalyzable,,1.0,"Van der Sijs, Leenwoordenboek 2005; EWB 1997",,,1595,0.9,1. Highly integrated,present only since contact,Insertion,,Old Norse maritime influence [12],,noun,,,,
Dutch-1-343-1,5399,Dutch,1-343,kaap,kaap,k aː p,,12,true,^kaap$,Dutch,72181920934729794,,,1. clearly borrowed,1.0,,,,unanalyzable,,1.0,"Van der Sijs, Leenwoordenboek 2005; EWB 1997",,,1567,0.9,1. Highly integrated,present only since contact,Insertion,,French cultural influence [12],,noun,,,,
Dutch-1-35-1,5400,Dutch,1-35,golf,golf,x ɔ l f,,12,false,^golf$,Dutch,72181920874351586,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,1475,1.0,,,,,,,noun,,,,
Dutch-1-352-1,5401,Dutch,1-352,getij(de),getij(de),x ə t ɛi,,12,false,^getij(de)$,Dutch,7218192083235582,,,5. no evidence for borrowing,0.0,,,,analyzable derived,ge-tij(de) [COLLECTIVE-time],0.5,EWB 1997,,,1236,1.0,,,,,,,noun,,,,
Dutch-1-353-1,5402,Dutch,1-353,eb,eb,ɛ p,,12,false,^eb$,Dutch,72181920275809293,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,1351-1375,1.0,,,,,,,noun,,,,
Dutch-1-354-1,5403,Dutch,1-354,vloed,vloed,v l uː t,,12,false,^vloed$,Dutch,72181920215572916,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,0901-1000,1.0,,,,,,,noun,,,,
Dutch-1-36-1,5404,Dutch,1-36,rivier,rivier,r iː v iː r,,12,true,^rivier$,Dutch,72181920846803699,,,1. clearly borrowed,1.0,,,,unanalyzable,,1.0,"Van der Sijs, Leenwoordenboek 2005; EWB 1997",,,1240,1.0,1. Highly integrated,present in pre-contact environment,Coexistence,,French cultural influence [12],,noun,,,,
Dutch-1-36-2,5405,Dutch,1-36,stroom,stroom,s t r oː m,,12,false,^stroom$,Dutch,72181920599718144,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,1240,1.0,,,,,,,noun,,,,
Dutch-1-362-1,5406,Dutch,1-362,draaikolk,draaikolk,d r aː j k ɔ l k,,12,false,^draaikolk$,Dutch,72181920339742711,,,5. no evidence for borrowing,0.0,,,,analyzable compound,draai-kolk [whirl-pool],0.5,WNT,,,1678,0.9,,,,,,,noun,,,,
Dutch-1-37-1,5407,Dutch,1-37,bron,bron,b r ɔ n,,12,true,^bron$,Dutch,72181920173779121,,,1. clearly borrowed,1.0,,,,unanalyzable,,1.0,"Van der Sijs, Leenwoordenboek 2005; EWB 1997",,,1605,0.9,1. Highly integrated,present in pre-contact environment,Replacement,,High German influence [12],,noun,,,,
Dutch-1-38-1,5408,Dutch,1-38,moeras,moeras,m uː r ɑ s,,12,true,^moeras$,Dutch,7218192062948326,,,1. clearly borrowed,1.0,,,,unanalyzable,,1.0,"Van der Sijs, Leenwoordenboek 2005; EWB 1997",,,1599,0.9,1. Highly integrated,present in pre-contact environment,Replacement,,Picardic oral influence [12],,noun,,,,
Dutch-1-39-1,5409,Dutch,1-39,waterval,waterval,ʋ aː t ə r v ɑ l,,12,false,^waterval$,Dutch,72181920433820910,,,5. no evidence for borrowing,0.0,,,,analyzable compound,water-val [water-fall],0.5,WNT,,,1509,0.9,,,,,,,noun,,,,
Dutch-1-41-1,5410,Dutch,1-41,bos,bos,b ɔ s,,12,false,^bos$,Dutch,72181920178827236,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,1089,1.0,,,,,,,noun,,,,
Dutch-1-41-2,5411,Dutch,1-41,woud,woud,ʋ ɑu t,,12,false,^woud$,Dutch,72181920536147434,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,0793,1.0,,,,,,,noun,,,,
Dutch-1-43-1,5413,Dutch,1-43,hout,hout,h ɑu t,,12,false,^hout$,Dutch,72181920609525086,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,0741,1.0,,,,,,,noun,,,,
Dutch-1-44-1,5414,Dutch,1-44,rots,rots,r ɔ t s,,12,true,^rots$,Dutch,72181920710002386,,,1. clearly borrowed,1.0,,,,unanalyzable,,1.0,"Van der Sijs, Leenwoordenboek 2005; EWB 1997",,,1285,1.0,1. Highly integrated,present in pre-contact environment,Coexistence,,Picardic oral influence [12],,noun,,,,
Dutch-1-44-2,5415,Dutch,1-44,steen,steen,s t eː n,,12,false,^steen$,Dutch,72181920154916585,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,0918-948,1.0,,,,,,,noun,,,,
Dutch-1-45-1,5416,Dutch,1-45,aardbeving,aardbeving,aː r d b eː v ɪ ŋ,,12,false,^aardbeving$,Dutch,72181920588426696,,,5. no evidence for borrowing,0.0,,,,analyzable derived,aard-bev-ing [earth-quake-NMLZ],0.5,WNT,,,1478,1.0,,,,,,,noun,,,,
Dutch-1-51-1,5417,Dutch,1-51,hemel,hemel,h eː m ə l,,12,false,^hemel$,Dutch,72181920984583705,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,0901-1000,1.0,,,,,,,noun,,,,
Dutch-1-52-1,5418,Dutch,1-52,zon,zon,z ɔ n,,12,false,^zon$,Dutch,72181920747035554,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,0901-1000,1.0,,,,,,,noun,,,,
Dutch-1-53-1,5419,Dutch,1-53,maan,maan,m aː n,,12,false,^maan$,Dutch,72181920745405995,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,0901-1000,1.0,,,,,,,noun,,,,
Dutch-1-54-1,5420,Dutch,1-54,ster,ster,s t ɛ r,,12,false,^ster$,Dutch,72181920126630645,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,1240,1.0,,,,,,,noun,,,,
Dutch-1-55-1,5421,Dutch,1-55,bliksem,bliksem,b l ɪ k s ə m,,12,false,^bliksem$,Dutch,72181920174609052,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,0901-1000,1.0,,,,,,,noun,,,,
Dutch-1-56-1,5422,Dutch,1-56,donder,donder,d ɔ n d ə r,,12,false,^donder$,Dutch,72181920153065588,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,1240,1.0,,,,,,,noun,,,,
Dutch-1-57-1,5423,Dutch,1-57,bliksemschicht,bliksemschicht,b l ɪ k s ə m s x ɪ x t,,12,false,^bliksemschicht$,Dutch,72181920830886547,,,5. no evidence for borrowing,0.0,,,,analyzable compound,bliksem-schicht [lightning-flash],0.5,WNT,,,1773,0.9,,,,,,,noun,,,,
Dutch-1-58-1,5424,Dutch,1-58,storm,storm,s t ɔ r m,,12,false,^storm$,Dutch,72181920490045585,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,1240,1.0,,,,,,,noun,,,,
Dutch-1-59-1,5425,Dutch,1-59,regenboog,regenboog,r eː ɣ ə m b oː x,,12,false,^regenboog$,Dutch,72181920909328623,,,5. no evidence for borrowing,0.0,,,,analyzable compound,regen-boog [rain-bow],0.5,EWB 1997,,,1285,1.0,,,,,,,noun,,,,
Dutch-1-61-1,5426,Dutch,1-61,licht (1),licht,l ɪ x t,,12,false,^licht$,Dutch,72181920641074887,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,0901-1000,1.0,,,,,,,noun,,,,
Dutch-1-62-1,5427,Dutch,1-62,duisternis,duisternis,d œy s t ə r n ɪ s,,12,false,^duisternis$,Dutch,72181920139814721,,,5. no evidence for borrowing,0.0,,,,analyzable derived,duister-nis [dark-NMLZ],0.5,EWB 1997,,,0901-1000,1.0,,,,,,,noun,,,,
Dutch-1-63-1,5428,Dutch,1-63,schaduw,schaduw,s x aː d yː ʋ,,12,false,^schaduw$,Dutch,72181920694747578,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,1300,1.0,,,,,,,noun,,,,
Dutch-1-64-1,5429,Dutch,1-64,dauw,dauw,d ɑu ʋ,,12,false,^dauw$,Dutch,72181920579267070,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,1100,1.0,,,,,,,noun,,,,
Dutch-1-71-1,5430,Dutch,1-71,lucht,lucht,l ʏ x t,,12,false,^lucht$,Dutch,72181920245082402,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,1240,1.0,,,,,,,noun,,,,
Dutch-1-72-1,5431,Dutch,1-72,wind,wind,ʋ ɪ n t,,12,false,^wind$,Dutch,72181920614889140,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,1001-1050,1.0,,,,,,,noun,,,,
Dutch-1-73-1,5432,Dutch,1-73,wolk,wolk,ʋ ɔ l k,,12,false,^wolk$,Dutch,72181920316403980,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,0901-1000,1.0,,,,,,,noun,,,,
Dutch-1-74-1,5433,Dutch,1-74,mist,mist,m ɪ s t,,12,false,^mist$,Dutch,72181920997985199,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,1287,1.0,,,,,,,noun,,,,
Dutch-1-75-1,5434,Dutch,1-75,regen,regen,r eː ɣ ə,,12,false,^regen$,Dutch,72181920767473317,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,0901-1000,1.0,,,,,,,noun,,,,
Dutch-1-76-1,5435,Dutch,1-76,sneeuw,sneeuw,s n eː ʋ,,12,false,^sneeuw$,Dutch,72181920482416722,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,0901-1000,1.0,,,,,,,noun,,,,
Dutch-1-77-1,5436,Dutch,1-77,ijs,ijs,ɛi s,,12,false,^ijs$,Dutch,72181920852663051,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,1240,1.0,,,,,,,noun,,,,
Dutch-1-78-1,5439,Dutch,1-78,weer (1),weer,ʋ eː r,,12,false,^weer$,Dutch,72181920622954728,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,1240,1.0,,,,,,,noun,,,,
Dutch-1-81-1,5440,Dutch,1-81,vuur,vuur,v yː r,,12,false,^vuur$,Dutch,7218192010605509,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,0901-1000,1.0,,,,,,,noun,,,,
Dutch-1-82-1,5441,Dutch,1-82,vlam,vlam,v l ɑ m,,12,true,^vlam$,Dutch,72181920416136705,,,1. clearly borrowed,1.0,,,,unanalyzable,,1.0,"Van der Sijs, Leenwoordenboek 2005; EWB 1997",,,1265-1270,1.0,1. Highly integrated,present in pre-contact environment,Replacement,,French cultural influence [12],,noun,,,,
Dutch-1-83-1,5442,Dutch,1-83,rook,rook,r oː k,,12,false,^rook$,Dutch,72181920692507651,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,0901-1000,1.0,,,,,,,noun,,,,
Dutch-1-84-1,5443,Dutch,1-84,as (1),as,ɑ s,,12,false,^as$,Dutch,72181920628638752,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,0901-1000,1.0,,,,,,,noun,,,,
Dutch-1-841-1,5444,Dutch,1-841,sintel,sintel,s ɪ n t ə l,,12,true,^sintel$,Dutch,72181920946425423,,,1. clearly borrowed,1.0,,,,unanalyzable,,1.0,"Van der Sijs, Leenwoordenboek 2005; EWB 1997",,,1436-1523,1.0,1. Highly integrated,present in pre-contact environment,Replacement,,High German influence [12],,noun,,,,
Dutch-1-851-1,5445,Dutch,1-851,verbranden,verbranden,v ə r b r ɑ n d ə,,12,false,^verbranden$,Dutch,72181920651062114,,,5. no evidence for borrowing,0.0,,,,analyzable derived,ver-brand-en [TR-fire-INF],0.5,WNT,,,1380,1.0,,,,,,,verb,,,,
Dutch-1-852-1,5446,Dutch,1-852,branden,branden,b r ɑ n d ə,,12,false,^branden$,Dutch,72181920112926285,,,5. no evidence for borrowing,0.0,,,,analyzable derived,brand-en [fire-INF],0.5,EWB 1997,,,1445,1.0,,,,,,,verb,,,,
Dutch-1-86-1,5447,Dutch,1-86,aansteken,aansteken,aː n s t eː k ə,,12,false,^aansteken$,Dutch,72181920514345578,,,5. no evidence for borrowing,0.0,,,,analyzable compound,aan-stek-en [on-stick-INF],0.5,WNT,,,1322,1.0,,,,,,,verb,,,,
Dutch-1-861-1,5448,Dutch,1-861,doven,doven,d oː v ə,,12,false,^doven$,Dutch,72181920943515129,,,5. no evidence for borrowing,0.0,,,,analyzable derived,dov-en [deaf-INF],0.5,EWB 1997,,,1611,0.9,,,,,,,verb,,,,
Dutch-1-87-1,5449,Dutch,1-87,lucifer,lucifer,l yː s iː f ɛ r,,12,true,^lucifer$,Dutch,72181920198588503,,,1. clearly borrowed,1.0,,,,unanalyzable,,1.0,"Van der Sijs, Leenwoordenboek 2005; EWB 1997",,,1847,0.8,1. Highly integrated,present only since contact,Insertion,,English/American world-wide influence [12],,noun,,,,
Dutch-1-88-1,5450,Dutch,1-88,brandhout,brandhout,b r ɑ n t h ɑu t,,12,false,^brandhout$,Dutch,72181920719534254,,,5. no evidence for borrowing,0.0,,,,analyzable compound,brand-hout [fire-wood],0.5,WNT,,,1605,0.9,,,,,,,noun,,,,
Dutch-1-89-1,5451,Dutch,1-89,houtskool,houtskool,h ɑu t s k oː l,,12,false,^houtskool$,Dutch,72181920955189969,,,5. no evidence for borrowing,0.0,second element loaned from Latin caulis,yes,,analyzable compound,hout-s-kool [wood-CONN-coal],0.5,WNT,,,1616,0.9,,,,,,,noun,,,,
Dutch-2-1-1,5452,Dutch,2-1,persoon,persoon,p ə r s oː n,,12,true,^persoon$,Dutch,72181920556546530,,,1. clearly borrowed,1.0,,,,unanalyzable,,1.0,"Van der Sijs, Leenwoordenboek 2005; EWB 1997",,,1265-1270,1.0,1. Highly integrated,present in pre-contact environment,Coexistence,,Medical and scientific Latin influence [12],,noun,,,,
Dutch-2-1-2,5453,Dutch,2-1,mens,mens,m ɛ n s,,12,false,^mens$,Dutch,72181920456327930,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,1236,1.0,,,,,,,noun,,,,
Dutch-2-21-1,5454,Dutch,2-21,man (1),man,m ɑ n,,12,false,^man$,Dutch,72181920170920788,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,0901-1000,1.0,,,,,,,noun,,,,
Dutch-2-22-1,5455,Dutch,2-22,vrouw (1),vrouw,v r ɑu ʋ,,12,false,^vrouw$,Dutch,721819206095825,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,1240,1.0,,,,,,,noun,,,,
Dutch-2-23-1,5456,Dutch,2-23,mannelijk,mannelijk,m ɑ n ə l ə k,,12,false,^mannelijk$,Dutch,72181920354266587,,,5. no evidence for borrowing,0.0,,,,analyzable derived,mann-elijk [man-ADJ],0.5,WNT,,,1285,1.0,,,,,,,adjective,,,,
Dutch-2-24-1,5457,Dutch,2-24,vrouwelijk,vrouwelijk,v r ɑu ʋ ə l ə k,,12,false,^vrouwelijk$,Dutch,7218192059458554,,,5. no evidence for borrowing,0.0,,,,analyzable derived,vrouw-elijk [woman-ADJ],0.5,WNT,,,1276-1300,1.0,,,,,,,adjective,,,,
Dutch-2-25-1,5458,Dutch,2-25,jongen,jongen,j ɔ ŋ ə,,12,false,^jongen$,Dutch,72181920840106819,,,5. no evidence for borrowing,0.0,,,,analyzable derived,jong-en [young-M],0.5,EWB 1997,,,1479,1.0,,,,,,,noun,,,,
Dutch-2-251-1,5459,Dutch,2-251,jongeman,jongeman,j ɔ ŋ ə m ɑ n,,12,false,^jongeman$,Dutch,72181920288481088,,,5. no evidence for borrowing,0.0,,,,analyzable compound,jong-e-man [young-CONN-man],0.5,WNT,,,1401-1425,1.0,,,,,,,noun,,,,
Dutch-2-26-1,5460,Dutch,2-26,meisje,meisje,m ɛi s j ə,,12,false,^meisje$,Dutch,72181920150520581,,,5. no evidence for borrowing,0.0,,,,semi-analyzable,meis-je [?-DIM],0.75,EWB 1997,,,1629,0.9,,,,,,,noun,,,,
Dutch-2-261-1,5461,Dutch,2-261,meisje,meisje,m ɛi s j ə,,12,false,^meisje$,Dutch,72181920150520581,,,5. no evidence for borrowing,0.0,,,,semi-analyzable,meis-je [?-DIM],0.75,EWB 1997,,,1629,0.9,,,,,,,noun,,,,
Dutch-2-27-1,5462,Dutch,2-27,kind,kind,k ɪ n t,,12,false,^kind$,Dutch,72181920450938140,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,0901-1000,1.0,,,,,,,noun,,,,
Dutch-2-28-1,5463,Dutch,2-28,baby,baby,b eː b iː,,12,true,^baby$,Dutch,72181920405586751,,,1. clearly borrowed,1.0,,,,unanalyzable,,1.0,"Van der Sijs, Leenwoordenboek 2005; EWB 1997",,,1875,0.8,1. Highly integrated,present in pre-contact environment,Replacement,,English/American world-wide influence [12],,noun,,,,
Dutch-2-31-1,5464,Dutch,2-31,echtgenoot,echtgenoot,ɛ x t x ə n oː t,,12,false,^echtgenoot$,Dutch,7218192098337764,,,5. no evidence for borrowing,0.0,,,,analyzable compound,echt-genoot [matrimony-companion],0.5,WNT,,,1631,0.9,,,,,,,noun,,,,
Dutch-2-31-2,5465,Dutch,2-31,man (2),man,m ɑ n,,12,false,^man$,Dutch,721819204399185,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,1512,0.9,,,,,,,noun,,,,
Dutch-2-32-1,5466,Dutch,2-32,echtgenote,echtgenote,ɛ x t x ə n oː t ə,,12,false,^echtgenote$,Dutch,72181920799534070,,,5. no evidence for borrowing,0.0,,,,analyzable derived,echt-genot-e [matrimony-companion-F],0.5,WNT,,,1631,0.9,,,,,,,noun,,,,
Dutch-2-32-2,5467,Dutch,2-32,vrouw (2),vrouw,v r ɑu ʋ,,12,false,^vrouw$,Dutch,72181920857274974,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,1512,0.9,,,,,,,noun,,,,
Dutch-2-33-1,5468,Dutch,2-33,trouwen,trouwen,t r ɑu ʋ ə,,12,false,^trouwen$,Dutch,72181920420431885,,,5. no evidence for borrowing,0.0,,,,analyzable derived,trouw-en [loyal-INF],0.5,EWB 1997,,,1285,1.0,,,,,,,verb,,,,
Dutch-2-34-1,5469,Dutch,2-34,bruiloft,bruiloft,b r œy l ɔ f t,,12,false,^bruiloft$,Dutch,72181920768214440,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,1240,1.0,,,,,,,noun,,,,
Dutch-2-341-1,5470,Dutch,2-341,scheiding,scheiding,s x ɛi d ɪ ŋ,,12,false,^scheiding$,Dutch,72181920355337702,,,5. no evidence for borrowing,0.0,,,,analyzable derived,scheid-ing [seperate-NMLZ],0.5,WNT,,,1360,1.0,,,,,,,noun,,,,
