orthography,ipa,dialect,gloss,category,features,note,gender,gen_ipa,declension
Aodhán,iːˈdɑːn,C,little fire,name,src:user,,m,iːd̪ˠaːnʲ,m1
Ardghal,ˈaɾˠdˠ.ɣəlˠ,high valour,name,src:user,,,m,aɾˠd̪ˠɣəlʲ,m1
ardbhrú,ˈaːɾˠd̪ˠvˠɾˠuː,C,high pressure,,,ipa constructed by g2p,m,aːɾˠd̪ˠvˠɾˠuː,d4
ardmhaor,ˈaːɾˠd̪ˠvˠiːɾˠ,C,chief steward,,,ipa constructed by g2p,m,aːɾˠd̪ˠvˠiːɾʲ,m1
ardmhata,ˈaːɾˠd̪ˠvˠət̪ˠə,C,first mate,,,ipa constructed by g2p,m,aːɾˠd̪ˠvˠət̪ˠə,d4
ardmhéara,ˈaːɾˠd̪ˠvˠeːɾˠə,C,lord mayor,,,ipa constructed by g2p,m,aːɾˠd̪ˠvˠeːɾˠə,d4
ardmheas,ˈaːɾˠd̪ˠvˠəsˠ,C,high esteem,,,ipa constructed by g2p,m,aːɾˠd̪ˠvˠəʃ,m1
